word,len
অকম্মা,6
অকরণ,4
অকরণী,5
অকরণীয়,6
অকরন্,5
অকরোট,5
অকরোটি,6
অকর্,4
অকর্কশ,6
অকর্ণ,5
অকর্তব্য,8
অকর্তা,6
অকর্তিত,7
অকর্তৃত্ব,9
অকর্ম,5
অকর্মক,6
অকর্মকাণ্ড,10
অকর্মণ্য,8
অকর্মণ্যতায়,11
অকর্মা,6
অকর্মার,7
অকর্মিষ্ঠ,9
অকর্ষিত,7
অকলঙ্ক,6
অকলঙ্কিত,8
অকলঙ্কিনী,9
অকলঙ্কী,7
অকলমন্দ,7
অকলহ,4
অকলুষ,5
অকলুষিত,7
অকলুষিতা,8
অকলোঙ্,6
অকল্,4
অকল্ক,5
অকল্কা,6
অকল্কায়,7
অকল্পনা,7
অকল্পনীয়,8
অকল্মষ,6
অকল্যাণ,7
অকল্যাণকর,9
অকল্যাণকারিণী,13
অকল্যাণজনক,10
অকল্যাণময়,9
অকল্যাণের,9
অকশ্,4
অকষ্ট,5
অকষ্টকল্পনা,11
অকষ্টকল্পিত,11
অকষ্টবদ্ধ,9
অকসর,4
অকস্মাতের,9
অকস্মাৎ,7
অকাজ,4
অকাজে,5
অকাজের,6
অকাজ্,5
অকাট,4
অকাট্,5
অকাট্য,6
অকাঠ,4
অকাঠা,5
অকাণ্ড,6
অকাণ্ডে,7
অকাতর,5
অকাতরতা,7
অকাতরে,6
অকাতর্,6
অকাতোর্,7
অকান্ডো,7
অকাপট্য,7
অকাপোট্,7
অকাম,4
অকামিক,6
অকাম্,5
অকাম্য,6
অকার,4
অকারকুষ্মাণ্ড,13
অকারণ,5
অকারণে,6
অকারত,5
অকারান্ত,8
অকারী,5
অকারোন্,7
অকার্,5
অকার্জো,7
অকার্পণ্য,9
অকার্য,6
অকার্যকর,8
অকার্যকরী,9
অকাল,4
অকালকুষ্মাণ্ড,13
অকালজ,5
অকালজাত,7
অকালপক্ক,8
অকালপক্কতা,10
অকালপক্ব,8
অকালপক্বতা,10
অকালবার্ধক্য,12
অকালবৃদ্ধ,9
অকালবোধন,8
অকালমৃত্যু,10
অকালসন্ধ্যা,11
অকালি,5
অকালিক,6
অকালী,5
অকালীন,6
অকালে,5
অকালেতে,7
অকালের,6
অকাল্,5
অকাল্পনিক,9
অকাল্পোনিক্,11
অকাশ,4
অকায়,4
অকায়্,5
অকিঞ্চন,7
অকিঞ্চনতা,9
অকিঞ্চনত্ব,10
অকিঞ্চনে,8
অকিঞ্চনের,9
অকিঞ্চিকর,9
অকিঞ্চিতকরতা,12
অকিঞ্চিৎ,8
অকিঞ্চিৎকর,10
অকিঞ্চিৎকরতা,12
অকিন্চন্,8
অকিন্চিত্,9
অকিন্চিত্কর,11
অকিন্চোন,8
অকির্তি,7
অকীর্ত,6
অকীর্তি,7
অকীর্তিকর,9
অকীর্তিত,8
অকীর্তিমান,10
অকুআত,5
অকুঞ্চিত,8
অকুটিল,6
অকুটিলতা,8
অকুটিলা,7
অকুণ্ঠ,6
অকুণ্ঠিত,8
অকুণ্ঠিতা,9
অকুতোভয়,7
অকুতোভয়তা,9
অকুতোভয়া,8
অকুতোভয়ে,8
অকুতোভয়্,8
অকুন্ঠ,6
অকুন্ঠচিত্তে,12
অকুন্ঠিত,8
অকুন্ঠিতচিত্ত,13
অকুন্ঠিতচিত্তে,14
অকুন্ঠিতা,9
অকুন্ঠিতো,9
অকুন্ঠো,7
অকুফ,4
অকুমার,6
অকুমারি,7
অকুমারী,7
অকুমারীব্রত,11
অকুমার্,7
অকুল,4
অকুলন,5
অকুলন্,6
অকুলান,6
অকুলান্,7
অকুলিন্,7
অকুলীন,6
অকুল্,5
অকুশল,5
অকুশলী,6
অকুশল্,6
অকুষ্ঠিত,8
অকুস্থল,7
অকুস্থান,8
অকুয়াত্,7
অকূল,4
অকূলপাথার,9
অকূলভাসা,8
অকূলে,5
অকূলের,6
অকৃত,4
অকৃতকর্মা,9
অকৃতকার্য,9
অকৃতকার্যতা,11
অকৃতগ্গোঁ,9
অকৃতঘ্ন,7
অকৃতঘ্নতা,9
অকৃতঘ্নো,8
অকৃতজ্ঞ,7
অকৃতজ্ঞতা,9
অকৃতদার,7
অকৃতধী,6
অকৃতনামা,8
অকৃতনামী,8
অকৃতনাম্নী,10
অকৃতবিদ্য,9
অকৃতবিদ্যা,10
অকৃতাত্তাঁ,10
অকৃতাত্মা,9
অকৃতাদর,7
অকৃতাদর্,8
অকৃতাপরাধ,9
অকৃতাপোরাধ্,11
অকৃতার্থ,8
অকৃতার্থো,9
অকৃতি,5
অকৃতিত্তো,9
অকৃতিত্ব,8
অকৃতী,5
অকৃতোদ্বাহ,10
অকৃতোদ্বাহা,11
অকৃতোদ্বাহো,11
অকৃত্তো,7
অকৃত্ত্রিম্,11
অকৃত্য,6
অকৃত্যকারী,10
অকৃত্রিম,8
অকৃত্রিমতা,10
অকৃপ,4
অকৃপণ,5
অকৃপণতা,7
অকৃপন্,6
অকৃপা,5
অকৃপোন্,7
অকৃশ,4
অকৃশ্টো,7
অকৃশ্নো,7
অকৃষ্ট,6
অকৃষ্টপচ্য,10
অকৃষ্ণ,6
অকৃষ্ণকর্মা,11
অকেজো,5
অকেলাশ্,7
অকেলাস,6
অকেষ্ট্রায়,10
অকোর্,6
অকৈতব,5
অকোইতব্,7
অকোউশল,6
অকোটু,5
অকোত্,5
অকোথিতো,7
অকোনিশ্,7
অকোপ,4
অকোপী,5
অকোপ্,5
অকোপ্রো,7
অকোবি,5
অকোবিদ,6
অকোবিদ্,7
অকোমল,5
অকোম্পিতো,9
অকোলল্যান্,10
অকোলুশ্,7
অকোল্,5
অকোশ্,5
অকৌতূহলী,8
অকৌশল,5
অকৌশলী,6
অক্ক,4
অক্কা,5
অক্খি,5
অক্টোপাশ্,9
অক্টোপাস,8
অক্টোপাসের,10
অক্টোপাস্,9
অক্টোবর,7
অক্টোবর্,8
অক্ত,4
অক্তো,5
অক্রম,5
অক্রি,5
অক্রিয়,6
অক্রিয়কর্মা,11
অক্রিয়তা,8
অক্রিয়ত্ব,9
অক্রিয়া,7
অক্রিয়াচরণ,10
অক্রিয়ানিষ্ঠ,12
অক্রিয়ান্বিত,12
অক্রিয়ারত,9
অক্রিয়াসক্ত,11
অক্রীত,6
অক্রুদ্ধ,8
অক্রুদ্ধো,9
অক্রূর,6
অক্রেয়,6
অক্রেয়তা,8
অক্রোধ,6
অক্রোধিত,8
অক্রোধী,7
অক্লান্ত,8
অক্লান্তকর্মা,13
অক্লান্তো,9
অক্লিশ্টো,9
অক্লিষ্ট,8
অক্লিষ্টকর্মা,13
অক্লীব,6
অক্লেশ,6
অক্লেশে,7
অক্ষ,4
অক্ষকে,6
অক্ষক্রীড়া,10
অক্ষখেলা,8
অক্ষটি,6
অক্ষত,5
অক্ষতদেহ,8
অক্ষতদেহে,9
অক্ষতযোনি,9
অক্ষতশরীর,9
অক্ষতশরীরে,10
অক্ষদণ্ড,8
অক্ষপাদ,7
অক্ষবাট,7
অক্ষবিশিষ্ট,11
অক্ষবৃত্ত,9
অক্ষম,5
অক্ষমতা,7
অক্ষমতাজ্ঞাপক,13
অক্ষমতার,8
অক্ষমা,6
অক্ষমালা,8
অক্ষমের,7
অক্ষর,5
অক্ষরই,6
অক্ষরজীবক,9
অক্ষরজীবিক,10
অক্ষরজীবী,9
অক্ষরজ্ঞান,10
অক্ষরজ্ঞানহীন,13
অক্ষরটি,7
অক্ষরডম্বর,10
অক্ষরপরিচয়,10
অক্ষরবিন্যাস,12
অক্ষরবিশিষ্ট,12
অক্ষরমালা,9
অক্ষরযুক্ত,10
অক্ষরশূন্য,10
অক্ষরসমষ্টি,11
অক্ষরসমূহ,9
অক্ষরা,6
অক্ষরাজিতে,10
অক্ষরাদির,9
অক্ষরান্তরীকরণ,14
অক্ষরে,6
অক্ষরেখা,8
অক্ষরের,7
অক্ষসূত্র,9
অক্ষহার,7
অক্ষাংশ,7
অক্ষার,6
অক্ষারলবণ,9
অক্ষি,5
অক্ষিকাচ,8
অক্ষিকোটর,9
অক্ষিগত,7
অক্ষিগোলক,9
অক্ষিগোলকের,11
অক্ষিণ্ন,8
অক্ষিতারকা,10
অক্ষিপক্ষ্ম,11
অক্ষিপট,7
অক্ষিপটল,8
অক্ষিপুট,8
অক্ষির,6
অক্ষিলোম,8
অক্ষুণ্ন,8
অক্ষুণ্নগতি,11
অক্ষুণ্নপ্রতাপ,14
অক্ষুব্ধ,8
অক্ষুব্ধচিত্তে,14
অক্ষুভিত,8
অক্ষু্ণ্ন,9
অক্ষেত্র,8
অক্ষেমা,7
অক্ষোভিত,9
অক্ষোভ,6
অক্ষোভে,7
অক্ষোভ্য,8
অক্ষৌহিণী,9
অক্ষ্,5
অক্ষয়,5
অক্ষয়কীর্তি,11
অক্ষয়রূপে,9
অক্ষয়লোক,8
অক্সাইড,7
অক্সিজেন,8
অক্সিজেনে,9
অক্সিজেনের,10
অক্সিজেন্,9
অক্সিডেশন,9
অক্সিডেশন্,10
অখণ্ড,5
অখণ্ডতা,7
অখণ্ডতার,8
অখণ্ডনীয়,8
অখণ্ডনীয়তা,10
অখণ্ডিত,7
অখনিত,5
অখন্,4
অখন্ড,5
অখন্ডিত,7
অখন্ডো,6
অখর্ব,5
অখর্বো,6
অখল্,4
অখাঁটি,6
অখাণ্ড,6
অখাত,4
অখাত্,5
অখাদ্,5
অখাদ্য,6
অখিণ্ডিত,8
অখিণ্ন,6
অখিদ্,5
অখিদ্য,6
অখিদ্যমান,9
অখিন্,5
অখিল,4
অখিলের,6
অখিল্,5
অখুশি,5
অখেদ,4
অখেদ্,5
অখোন্,5
অখোন্ডিতো,9
অখ্যাত,6
অখ্যাতজনের,10
অখ্যাতনামা,10
অখ্যাতা,7
অখ্যাতি,7
অখ্যাতিকর,9
অখ্যাতিকারক,11
অখ্যাতিজনক,10
অখ্যাতির,8
অগউর্,5
অগগোঁ,5
অগগ্যাঁতো,9
অগচ্ছিত,7
অগঠন,4
অগঠোন্,6
অগণন,4
অগণনীয়,6
অগণিত,5
অগণ্য,5
অগতি,4
অগতিক,5
অগতিতে,6
অগতির,5
অগত্যা,6
অগদতন্ত্র,9
অগদ্,4
অগনন্,5
অগনোনিয়ো,8
অগনোন্,6
অগন্তব্য,8
অগন্তি,6
অগন্তোব্,8
অগভীর,5
অগভীরতা,7
অগভীরভাবে,9
অগমে,4
অগমো,4
অগম্,4
অগম্য,5
অগম্যা,6
অগরু,4
অগর্ভজাতা,9
অগর্হিত,7
অগলিত,5
অগস্,4
অগস্ট,5
অগস্তো,6
অগস্ত্য,7
অগস্ত্যোদয়,10
অগাধ,4
অগাধের,6
অগাধ্,5
অগার,4
অগাস্,5
অগাস্ট,6
অগিতো,5
অগীত,4
অগুণ,4
অগুণিত,6
অগুন,4
অগুনতি,6
অগুন্,5
অগুন্তি,7
অগুপ্ত,6
অগুরু,5
অগুরুবিশেষ,10
অগুরুমেদ,8
অগুয়ান,6
অগুয়ান্,7
অগোউনো,6
অগোউ্,5
অগোচর,5
অগোচরা,6
অগোচরে,6
অগোচর্,6
অগোচ্ছিতো,9
অগোছালো,7
অগোতি,5
অগোত্তা,7
অগোন্,5
অগোপন,5
অগোপনীয়,7
অগোপন্,6
অগোভির্,7
অগোম্,5
অগোর,4
অগোর্,5
অগোর্হিতো,9
অগোর্হিত্,9
অগোস্তো,7
অগৌণ,4
অগৌণে,5
অগৌর,4
অগৌরব,5
অগৌরবর্ণ,8
অগৌরবর্ণা,9
অগৌরবা,6
অগৌরবার,7
অগৌরবে,6
অগৌরী,5
অগ্নি,5
অগ্নিকণা,8
অগ্নিকর্ম,9
অগ্নিকল্প,9
অগ্নিকাণা,9
অগ্নিকাণ্ড,10
অগ্নিকার্য,10
অগ্নিকুণ্ড,10
অগ্নিকুণ্ডে,11
অগ্নিকুণ্ডের,12
অগ্নিকুন্ড,10
অগ্নিকে,7
অগ্নিকোণ,8
অগ্নিক্রিয়া,11
অগ্নিক্রীড়া,11
অগ্নিগর্ভ,9
অগ্নিগিবির,10
অগ্নিগিরি,9
অগ্নিচূর্ণ,10
অগ্নিচূর্ণক,11
অগ্নিজিহ্বা,11
অগ্নিঝঙ্কার,11
অগ্নিঝঙ্কারে,12
অগ্নিতপ্ত,9
অগ্নিতরঙ্গ,10
অগ্নিতাপে,9
অগ্নিতুল্য,10
অগ্নিতে,7
অগ্নিতেজা,9
অগ্নিদগ্ধ,9
অগ্নিদাতা,9
অগ্নিদাত্রী,11
অগ্নিদাহ,8
অগ্নিদাহে,9
অগ্নিদাহের,10
অগ্নিদাহ্য,10
অগ্নিপক্ক,9
অগ্নিপক্ব,9
অগ্নিপরীক্ষা,12
অগ্নিপাটের,10
অগ্নিপাত্র,10
অগ্নিপিণ্ড,10
অগ্নিপুরুষ,10
অগ্নিপূজক,9
অগ্নিপ্রবেশ,11
অগ্নিপ্রস্তর,12
অগ্নিবর্ণ,9
অগ্নিবর্ধক,10
অগ্নিবর্ষণকারী,14
অগ্নিবর্ষণের,12
অগ্নিবর্হ,9
অগ্নিবর্হদিগন্তের,17
অগ্নিবাণ,8
অগ্নিবিম্ব,10
অগ্নিবিশেষ,10
অগ্নিবৃষ্টি,11
অগ্নিভাণ্ড,10
অগ্নিভাণ্ডে,11
অগ্নিমন্ত্র,11
অগ্নিমন্থন,10
অগ্নিমান্দ্য,12
অগ্নিমুখী,9
অগ্নিমূর্তি,11
অগ্নিমূল্য,10
অগ্নিময়,7
অগ্নিযুগ,8
অগ্নিযোগে,9
অগ্নির,6
অগ্নিশর্মা,10
অগ্নিশিখা,9
অগ্নিশিখাবিশিষ্ট,16
অগ্নিশুদ্ধ,10
অগ্নিশুদ্ধি,11
অগ্নিসংযোগ,10
অগ্নিসংযোগে,11
অগ্নিসংস্কার,12
অগ্নিসংস্কারার্থ,16
অগ্নিসহ,7
অগ্নিসেবন,9
অগ্নিস্থালিকা,13
অগ্নিস্ফুলিঙ্গ,14
অগ্নিসৎকার,10
অগ্নিহোত্র,10
অগ্নিহোত্রী,11
অগ্নুৎপাত,9
অগ্নুৎসব,8
অগ্নে,5
অগ্ন্যস্ত্র,11
অগ্ন্যাধান,10
অগ্ন্যুত্তাপে,13
অগ্ন্যুদ্,9
অগ্ন্যুস্ত্র,12
অগ্ন্যুৎপাত,11
অগ্ন্যুৎপাতে,12
অগ্র,4
অগ্রকর্মী,9
অগ্রগ,5
অগ্রগণ্য,8
অগ্রগতি,7
অগ্রগমণ,7
অগ্রগামিনী,10
অগ্রগামী,8
অগ্রগামীরা,10
অগ্রগৃতি,8
অগ্রজ,5
অগ্রজদের,8
অগ্রজা,6
অগ্রজিহ্বা,10
অগ্রণী,6
অগ্রণীশোভন,10
অগ্রথিত,7
অগ্রদন্তমূলীয়,13
অগ্রদানী,8
অগ্রদূত,7
অগ্রদেশ,7
অগ্রনায়ক,8
অগ্রনেতা,8
অগ্রপথিক,8
অগ্রপশ্চাৎ,10
অগ্রবর্তিনী,11
অগ্রবর্তী,9
অগ্রবর্তীদের,12
অগ্রবান,7
অগ্রবিশিষ্ট,11
অগ্রভাগ,7
অগ্রভাগবিশিষ্ট,14
অগ্রভাগযুক্ত,12
অগ্রভাগস্থ,10
অগ্রভাগস্থিত,12
অগ্রভাগে,8
অগ্রভাগের,9
অগ্রভাব,7
অগ্রভূমি,8
অগ্রমহিষী,9
অগ্রসর,6
অগ্রসরণ,7
অগ্রসরণে,8
অগ্রসরমান,9
অগ্রসূচনা,9
অগ্রসৃতি,8
অগ্রস্থ,7
অগ্রস্থিত,9
অগ্রহণ,6
অগ্রহণীয়,8
অগ্রহায়ণ,8
অগ্রহায়ণের,10
অগ্রহায়ন,8
অগ্রহায়নের,10
অগ্রাজ্,7
অগ্রাধিকার,10
অগ্রাধিকারের,12
অগ্রাহ্য,8
অগ্রাহ্যকরণ,11
অগ্রাহ্যকরন,11
অগ্রাহ্যকারী,12
অগ্রিম,6
অগ্রিমক,7
অগ্রিয়,6
অগ্রীয়,6
অগ্রে,5
অগ্র্য,6
অগড়ম,4
অঘঞ্,4
অঘটন,4
অঘটনঘটনপটিয়সী,13
অঘটনজ্ঞাপক,10
অঘটনীয়,6
অঘটনীয়তা,8
অঘটন্,5
অঘটিত,5
অঘট্ট,5
অঘর্,4
অঘাকান্ত,8
অঘাচণ্ডী,8
অঘাট,4
অঘাট্,5
অঘামারা,7
অঘারাম,6
অঘৃণ্য,6
অঘোঃ,4
অঘোর,4
অঘোরতন্ত্রী,11
অঘোরপন্থি,9
অঘোরী,5
অঘোরে,5
অঘোর্,5
অঘোশ্,5
অঘোষ,4
অঘোষবর্ণ,8
অঘোষিত,6
অঘ্রাণ,6
অঘ্রাণের,8
অঘ্রাত,6
অঘ্রান,6
অঘ্রানের,8
অঘ্রিন্,7
অঙিআ,4
অঙ্ক,4
অঙ্ককরা,7
অঙ্ককষা,7
অঙ্কগত,6
অঙ্কটাই,7
অঙ্কটি,6
অঙ্কটিতে,8
অঙ্কদান,7
অঙ্কদেশ,7
অঙ্কন,5
অঙ্কনকারী,9
অঙ্কনপটুত্ব,11
অঙ্কনবিদ্যায়,12
অঙ্কনযোগ্য,10
অঙ্কনশিল্পী,11
অঙ্কনি,6
অঙ্কনীয়,7
অঙ্কনে,6
অঙ্কনের,7
অঙ্কপাত,7
অঙ্কপ্রণালি,11
অঙ্কবঙ্ক,8
অঙ্কবাচক,8
অঙ্কবিদ,7
অঙ্কবিদ্যা,10
অঙ্কবিশিষ্ট,11
অঙ্কবিশেষ,9
অঙ্কবেত্তা,10
অঙ্কযুক্ত,9
অঙ্কলক্ষ্মী,11
অঙ্কলগ্ন,8
অঙ্কশাস্ত্র,11
অঙ্কশাস্ত্রবিদ,14
অঙ্কশাস্ত্রবেত্তা,17
অঙ্কশাস্ত্রে,12
অঙ্কশায়িনী,10
অঙ্কশায়ী,8
অঙ্কস্থ,7
অঙ্কস্থলী,9
অঙ্কস্থলীর,10
অঙ্কস্থিত,9
অঙ্কারূঢ়,8
অঙ্কিত,6
অঙ্কিতকরণ,9
অঙ্কুট,6
অঙ্কুটে,7
অঙ্কুর,6
অঙ্কুরগুলি,10
অঙ্কুরগুলো,10
অঙ্কুরিত,8
অঙ্কুরে,7
অঙ্কুরোদ,8
অঙ্কুরোদ্,9
অঙ্কুরোদয়,9
অঙ্কুশ,6
অঙ্কুশধারণকারিণী,16
অঙ্কুশবিশেষ,11
অঙ্কুশযুক্ত,11
অঙ্কুশী,7
অঙ্কুশে,7
অঙ্কুষ,6
অঙ্কে,5
অঙ্কের,6
অঙ্কো,5
অঙ্কোট,6
অঙ্কোন্,7
অঙ্কোপরি,8
অঙ্ক্,5
অঙ্গ,4
অঙ্গকে,6
অঙ্গগ্রহ,8
অঙ্গগ্লানি,10
অঙ্গঙঙ্গীকে,11
অঙ্গচালন,8
অঙ্গচালনা,9
অঙ্গচ্,6
অঙ্গচ্ছেদ,9
অঙ্গচ্ছেদন,10
অঙ্গজ,5
অঙ্গজা,6
অঙ্গণে,6
অঙ্গত্র,7
অঙ্গত্রাণ,9
অঙ্গদ,5
অঙ্গদ্,6
অঙ্গন,5
অঙ্গনা,6
অঙ্গনে,6
অঙ্গনের,7
অঙ্গন্যাস,9
অঙ্গপতন,7
অঙ্গপ্রত্যঙ্গ,13
অঙ্গপ্রত্যঙ্গের,15
অঙ্গপ্রত্যাঙ্গাদি,17
অঙ্গপ্রসাধন,11
অঙ্গপ্রায়শ্চিত্ত,16
অঙ্গবঙ্গকলিঙ্গ,14
অঙ্গবিকার,9
অঙ্গবিকৃতি,10
অঙ্গবিক্ষেপ,11
অঙ্গবিন্যাস,11
অঙ্গবিশিষ্ট,11
অঙ্গবিশিষ্টা,12
অঙ্গবিশেষ,9
অঙ্গবিহীন,9
অঙ্গবিহীনতা,11
অঙ্গবিহীনা,10
অঙ্গভঙ্গ,8
অঙ্গভঙ্গি,9
অঙ্গভঙ্গির,10
অঙ্গভঙ্গিসহ,11
অঙ্গভঙ্গী,9
অঙ্গমর্দন,9
অঙ্গমোটন,8
অঙ্গযুক্ত,9
অঙ্গরক্ষা,9
অঙ্গরক্ষিকা,11
অঙ্গরাখা,8
অঙ্গরাখার,9
অঙ্গরাগ,7
অঙ্গরূপে,8
অঙ্গশোধক,8
অঙ্গসংস্কার,11
অঙ্গসংস্থান,11
অঙ্গসঙ্কোচ,10
অঙ্গসঞ্চাচল,11
অঙ্গসঞ্চালন,11
অঙ্গসমূহের,10
অঙ্গসেবা,8
অঙ্গসৌষ্ঠব,10
অঙ্গসৌষ্ঠবযুক্ত,15
অঙ্গস্পর্শ,10
অঙ্গহানি,8
অঙ্গহীন,7
অঙ্গহীনতা,9
অঙ্গহীনা,8
অঙ্গাকৃষ্ট,10
অঙ্গাঙ্গি,9
অঙ্গাঙ্গিন্,11
অঙ্গাঙ্গী,9
অঙ্গাঙ্গীভাব,12
অঙ্গাঙ্গীসম্বন্ধ,16
অঙ্গাদি,7
অঙ্গাবরণ,8
অঙ্গাবরণবিশেষ,13
অঙ্গার,6
অঙ্গারক,7
অঙ্গারধানিকা,12
অঙ্গারধানী,10
অঙ্গারময়,8
অঙ্গারাদি,9
অঙ্গারাম্ল,10
অঙ্গারিত,8
অঙ্গারীয়,8
অঙ্গারে,7
অঙ্গিকা,7
অঙ্গিনী,7
অঙ্গিন্,7
অঙ্গিরা,7
অঙ্গী,5
অঙ্গীকরণ,8
অঙ্গীকার,8
অঙ্গীকারপত্র,12
অঙ্গীকারবদ্ধ,12
অঙ্গীকারাবদ্ধ,13
অঙ্গীকারে,9
অঙ্গীকারের,10
অঙ্গীকৃত,8
অঙ্গীভূত,8
অঙ্গীভূতকরণ,11
অঙ্গু,5
অঙ্গুরি,7
অঙ্গুরী,7
অঙ্গুরীয়,8
অঙ্গুরীয়ক,9
অঙ্গুল,6
অঙ্গুলাবরণ,10
অঙ্গুলি,7
অঙ্গুলিতে,9
অঙ্গুলিত্র,10
অঙ্গুলিত্রাণ,12
অঙ্গুলিনির্দেশ,14
অঙ্গুলিভূষণ,11
অঙ্গুলিমোটন,11
অঙ্গুলিসঙ্কেত,13
অঙ্গুলিস্ফোট,12
অঙ্গুলিস্ফোটন,13
অঙ্গুলিহেলন,11
অঙ্গুলে,7
অঙ্গুষ্ঠ,8
অঙ্গুষ্ঠত্রাণ,13
অঙ্গুষ্ঠপ্রমাণ,14
অঙ্গুষ্ঠিকা,11
অঙ্গে,5
অঙ্গের,6
অঙ্গো,5
অঙ্গ্,5
অঙ্ঘ্,5
অঙ্ঘ্রি,7
অচকিত,5
অচক্রী,6
অচক্ষু,6
অচঞ্চল,6
অচঞ্চলভাবে,10
অচতুর,5
অচন্,4
অচন্দ্রচেতন,11
অচপল,4
অচপোল্,6
অচরিতার্থ,9
অচলতা,5
অচলন,4
অচলনীয়,6
অচলা,4
অচলাবন্থা,9
অচলাবস্থা,9
অচলায়তন,7
অচলায়তনে,8
অচলিঞ্চু,8
অচলিত,5
অচলে,4
অচল্,4
অচাঞ্চল্য,9
অচাপল্য,7
অচালনীয়,7
অচালোন্,7
অচাল্য,6
অচিকিত্শা,9
অচিকির্,7
অচিকিৎসনীয়,10
অচিকিৎসা,8
অচিকিৎস্য,9
অচিকীর্ষু,9
অচিক্কণ,7
অচিন,4
অচিন্,5
অচিন্তকুমার,11
অচিন্তনীয়,9
অচিন্তনীয়া,10
অচিন্তিত,8
অচিন্তিতপূর্ব,13
অচিন্ত্য,8
অচিন্ত্যকুমার,13
অচিন্ত্যলীলা,12
অচির,4
অচিরকারী,8
অচিরকাল,7
অচিরকালে,8
অচিরজীবী,8
অচিরতা,6
অচিরদ্যুতি,10
অচিরপ্রভা,9
অচিরপ্রসূতা,11
অচিরস্থায়ী,10
অচিরাত্,7
অচিরাৎ,6
অচিরে,5
অচিরেই,6
অচির্,5
অচিসে,5
অচিহ্ন,6
অচিহ্নিত,8
অচুম্,5
অচুম্বিত,8
অচুর্,5
অচূর্ণ,6
অচূর্ণিত,8
অচেত,4
অচেতচিত্ত,9
অচেতন,5
অচেতনার,7
অচেতো,5
অচেতোন্,7
অচেনা,5
অচেনায়,6
অচেশ্,5
অচেষ্ট,6
অচেষ্টা,7
অচেষ্টিত,8
অচৈতন্য,7
অচোইতন্,7
অচোকিতো,7
অচোক্,5
অচোট,4
অচোতুর্,7
অচোরিতার্,9
অচোলিতো,7
অচ্চি,5
অচ্ছ,4
অচ্ছউ,5
অচ্ছত,5
অচ্ছত্ত,7
অচ্ছত্তে,8
অচ্ছদ,5
অচ্ছন্ত,7
অচ্ছন্তে,8
অচ্ছন্ন,7
অচ্ছসি,6
অচ্ছায়,6
অচ্ছিদ্র,8
অচ্ছিন্ন,8
অচ্ছিন্নত্বক,12
অচ্ছিলেঁ,8
অচ্ছুত,6
অচ্ছুৎ,6
অচ্ছেদিত,8
অচ্ছেদ্য,8
অচ্ছোদ,6
অচ্যুত,6
অছইতে,5
অছলিহু,6
অছলো,4
অছলোঁ,5
অছিঅত,5
অছিলা,5
অছিলাতেই,8
অছিলায়,6
অছিলে,5
অছিলোঁ,6
অছিয়ত,5
অছিয়তকারী,9
অছিয়তি,6
অছুল,4
অজগর,4
অজগরের,6
অজচ্,4
অজচ্ছল,6
অজত্,4
অজথা,4
অজথার্,6
অজন্,4
অজন্ত,5
অজন্তার,7
অজন্মদায়িনী,11
অজন্মন্,7
অজন্মা,6
অজপা,4
